locus_tag	ftype	length_bp	gene	EC_number	COG	product
DOEPCFOF_00001	CDS	1080	chaA_1		COG0387	Sodium-potassium/proton antiporter ChaA
DOEPCFOF_00002	CDS	1107	mdtA_1			Multidrug resistance protein MdtA
DOEPCFOF_00003	CDS	1137	mdtB_1			Multidrug resistance protein MdtB
DOEPCFOF_00004	CDS	1833	czcA_1			Cobalt-zinc-cadmium resistance protein CzcA
DOEPCFOF_00005	CDS	228				hypothetical protein
DOEPCFOF_00006	CDS	1062				hypothetical protein
DOEPCFOF_00007	CDS	741	gph_1	3.1.3.18		Phosphoglycolate phosphatase
DOEPCFOF_00008	CDS	888	hemF	1.3.3.3		Oxygen-dependent coproporphyrinogen-III oxidase
DOEPCFOF_00009	CDS	366	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
DOEPCFOF_00010	CDS	633	queE_1	4.3.99.3		7-carboxy-7-deazaguanine synthase
DOEPCFOF_00011	CDS	459	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
DOEPCFOF_00012	CDS	417	petA	1.10.2.2	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
DOEPCFOF_00013	CDS	2064	fbcH		COG1290	Cytochrome b/c1
DOEPCFOF_00014	CDS	675				hypothetical protein
DOEPCFOF_00015	CDS	2166	menF	5.4.4.2		Isochorismate synthase MenF
DOEPCFOF_00016	CDS	540	apt	2.4.2.7		Adenine phosphoribosyltransferase
DOEPCFOF_00017	CDS	669				hypothetical protein
DOEPCFOF_00018	CDS	753				hypothetical protein
DOEPCFOF_00019	CDS	1206	htpX_1	3.4.24.-		Protease HtpX
DOEPCFOF_00020	CDS	669				hypothetical protein
DOEPCFOF_00021	CDS	978				hypothetical protein
DOEPCFOF_00022	CDS	3465	smc_1			Chromosome partition protein Smc
DOEPCFOF_00023	CDS	672				hypothetical protein
DOEPCFOF_00024	CDS	573				hypothetical protein
DOEPCFOF_00025	CDS	1098	mutY	3.2.2.-	COG1194	Adenine DNA glycosylase
DOEPCFOF_00026	CDS	1746				hypothetical protein
DOEPCFOF_00027	CDS	420				hypothetical protein
DOEPCFOF_00028	CDS	1275	phzS_1	1.14.13.218	COG0654	5-methylphenazine-1-carboxylate 1-monooxygenase
DOEPCFOF_00029	CDS	621	gstB_1	2.5.1.18	COG0625	Glutathione S-transferase GST-6.0
DOEPCFOF_00030	CDS	924	syrM1			HTH-type transcriptional regulator SyrM 1
DOEPCFOF_00031	CDS	444				hypothetical protein
DOEPCFOF_00032	CDS	147				hypothetical protein
DOEPCFOF_00033	CDS	585				hypothetical protein
DOEPCFOF_00034	CDS	2544				hypothetical protein
DOEPCFOF_00035	CDS	2010				hypothetical protein
DOEPCFOF_00036	CDS	681	yfcG_1	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
DOEPCFOF_00037	CDS	327				hypothetical protein
DOEPCFOF_00038	CDS	1131				hypothetical protein
DOEPCFOF_00039	CDS	939				hypothetical protein
DOEPCFOF_00040	CDS	564	moaB		COG0521	Molybdenum cofactor biosynthesis protein B
DOEPCFOF_00041	CDS	930				hypothetical protein
DOEPCFOF_00042	CDS	576				hypothetical protein
DOEPCFOF_00043	CDS	840				hypothetical protein
DOEPCFOF_00044	CDS	1194	pduW	2.7.2.15	COG0282	putative propionate kinase
DOEPCFOF_00045	CDS	2421	xpkA	4.1.2.9		Xylulose-5-phosphate phosphoketolase
DOEPCFOF_00046	CDS	1188				hypothetical protein
DOEPCFOF_00047	CDS	456				hypothetical protein
DOEPCFOF_00048	CDS	858				hypothetical protein
DOEPCFOF_00049	CDS	1509				hypothetical protein
DOEPCFOF_00050	CDS	807				hypothetical protein
DOEPCFOF_00051	CDS	1662		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
DOEPCFOF_00052	CDS	1797	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
DOEPCFOF_00053	CDS	885	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
DOEPCFOF_00054	CDS	879			COG0596	putative protein
DOEPCFOF_00055	CDS	633	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
DOEPCFOF_00056	CDS	1263	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
DOEPCFOF_00057	CDS	516			COG1733	putative HTH-type transcriptional regulator
DOEPCFOF_00058	CDS	1008	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
DOEPCFOF_00059	CDS	201				hypothetical protein
DOEPCFOF_00060	CDS	768	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
DOEPCFOF_00061	CDS	99				hypothetical protein
DOEPCFOF_00062	CDS	909				hypothetical protein
DOEPCFOF_00063	CDS	192				hypothetical protein
DOEPCFOF_00064	CDS	939	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
DOEPCFOF_00065	CDS	2100	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
DOEPCFOF_00066	CDS	354				hypothetical protein
DOEPCFOF_00067	CDS	156				hypothetical protein
DOEPCFOF_00068	CDS	2937	ppdK	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
DOEPCFOF_00069	CDS	1467				hypothetical protein
DOEPCFOF_00070	CDS	876	nadC	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
DOEPCFOF_00071	CDS	1608	nadB	1.4.3.16	COG0029	L-aspartate oxidase
DOEPCFOF_00072	CDS	1107	nadA	2.5.1.72	COG0379	Quinolinate synthase A
DOEPCFOF_00073	CDS	1251				hypothetical protein
DOEPCFOF_00074	CDS	987	acuI	1.3.1.84	COG0604	Acrylyl-CoA reductase AcuI
DOEPCFOF_00075	CDS	588				hypothetical protein
DOEPCFOF_00076	CDS	234				hypothetical protein
DOEPCFOF_00077	CDS	1743				hypothetical protein
DOEPCFOF_00078	CDS	1767				hypothetical protein
DOEPCFOF_00079	CDS	2718				hypothetical protein
DOEPCFOF_00080	CDS	969				hypothetical protein
DOEPCFOF_00081	CDS	183				hypothetical protein
DOEPCFOF_00082	CDS	507				hypothetical protein
DOEPCFOF_00083	CDS	615				hypothetical protein
DOEPCFOF_00084	CDS	627	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
DOEPCFOF_00085	CDS	876	ygfZ			tRNA-modifying protein YgfZ
DOEPCFOF_00086	CDS	1335	lhyD	3.5.2.-		L-hydantoinase
DOEPCFOF_00087	CDS	867	sseA_1	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
DOEPCFOF_00088	CDS	705				hypothetical protein
DOEPCFOF_00089	CDS	534				hypothetical protein
DOEPCFOF_00090	CDS	321				hypothetical protein
DOEPCFOF_00091	CDS	267				hypothetical protein
DOEPCFOF_00092	CDS	378				hypothetical protein
DOEPCFOF_00093	CDS	435	nudC_1	3.6.1.22		NADH pyrophosphatase
DOEPCFOF_00094	CDS	492				hypothetical protein
DOEPCFOF_00095	CDS	759	yedK	3.4.-.-	COG2135	Putative SOS response-associated peptidase YedK
DOEPCFOF_00096	CDS	1194	uctC_1	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
DOEPCFOF_00097	CDS	930				hypothetical protein
DOEPCFOF_00098	CDS	582	nudK	3.6.1.-		GDP-mannose pyrophosphatase NudK
DOEPCFOF_00099	CDS	435	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
DOEPCFOF_00100	CDS	1428		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
DOEPCFOF_00101	tRNA	77				tRNA-Pro(cgg)
DOEPCFOF_00102	CDS	273				hypothetical protein
DOEPCFOF_00103	CDS	327				hypothetical protein
DOEPCFOF_00104	CDS	114				hypothetical protein
DOEPCFOF_00105	CDS	225				hypothetical protein
DOEPCFOF_00106	CDS	444				hypothetical protein
DOEPCFOF_00107	CDS	555	comR_1			HTH-type transcriptional repressor ComR
DOEPCFOF_00108	CDS	1194				hypothetical protein
DOEPCFOF_00109	CDS	420				hypothetical protein
DOEPCFOF_00110	CDS	210				hypothetical protein
DOEPCFOF_00111	CDS	2394	fiu		COG4774	Catecholate siderophore receptor Fiu
DOEPCFOF_00112	CDS	93				hypothetical protein
DOEPCFOF_00113	CDS	978	cmpR_1			HTH-type transcriptional activator CmpR
DOEPCFOF_00114	CDS	1038	fbp_1	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
DOEPCFOF_00115	CDS	876	cfxP	2.7.1.19	COG3954	Phosphoribulokinase, chromosomal
DOEPCFOF_00116	CDS	2022	tktB_1	2.2.1.1	COG0021	Transketolase 2
DOEPCFOF_00117	CDS	1086	fbaA	4.1.2.13		Fructose-bisphosphate aldolase class 2
DOEPCFOF_00118	CDS	1461	cbbL	4.1.1.39	COG1850	Ribulose bisphosphate carboxylase large chain
DOEPCFOF_00119	CDS	408	cbbS	4.1.1.39	COG4451	Ribulose bisphosphate carboxylase small chain
DOEPCFOF_00120	CDS	933	cbbX		COG0464	Protein CbbX
DOEPCFOF_00121	CDS	738	rpe_1	5.1.3.1		Ribulose-phosphate 3-epimerase
DOEPCFOF_00122	CDS	1854			COG2199	putative signaling protein
DOEPCFOF_00123	CDS	213				hypothetical protein
DOEPCFOF_00124	CDS	1368	dadA_1	1.4.99.-		D-amino acid dehydrogenase
DOEPCFOF_00125	CDS	690				hypothetical protein
