locus_tag	ftype	length_bp	gene	EC_number	COG	product
PIBMANKB_00001	CDS	1080	chaA_1		COG0387	Sodium-potassium/proton antiporter ChaA
PIBMANKB_00002	CDS	1107	mdtA_1			Multidrug resistance protein MdtA
PIBMANKB_00003	CDS	1137	mdtB_1			Multidrug resistance protein MdtB
PIBMANKB_00004	CDS	1833	czcA_1			Cobalt-zinc-cadmium resistance protein CzcA
PIBMANKB_00005	CDS	228				hypothetical protein
PIBMANKB_00006	CDS	1062				hypothetical protein
PIBMANKB_00007	CDS	741	gph_1	3.1.3.18		Phosphoglycolate phosphatase
PIBMANKB_00008	CDS	888	hemF	1.3.3.3		Oxygen-dependent coproporphyrinogen-III oxidase
PIBMANKB_00009	CDS	366	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
PIBMANKB_00010	CDS	633	queE_1	4.3.99.3		7-carboxy-7-deazaguanine synthase
PIBMANKB_00011	CDS	459	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
PIBMANKB_00012	CDS	417	petA	1.10.2.2	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
PIBMANKB_00013	CDS	2064	fbcH		COG1290	Cytochrome b/c1
PIBMANKB_00014	CDS	675				hypothetical protein
PIBMANKB_00015	CDS	2166	menF	5.4.4.2		Isochorismate synthase MenF
PIBMANKB_00016	CDS	540	apt	2.4.2.7		Adenine phosphoribosyltransferase
PIBMANKB_00017	CDS	669				hypothetical protein
PIBMANKB_00018	CDS	753				hypothetical protein
PIBMANKB_00019	CDS	1206	htpX_1	3.4.24.-		Protease HtpX
PIBMANKB_00020	CDS	669				hypothetical protein
PIBMANKB_00021	CDS	978				hypothetical protein
PIBMANKB_00022	CDS	3465	smc_1			Chromosome partition protein Smc
PIBMANKB_00023	CDS	672				hypothetical protein
PIBMANKB_00024	CDS	573				hypothetical protein
PIBMANKB_00025	CDS	1098	mutY	3.2.2.-	COG1194	Adenine DNA glycosylase
PIBMANKB_00026	CDS	1746				hypothetical protein
PIBMANKB_00027	CDS	420				hypothetical protein
PIBMANKB_00028	CDS	1275	phzS_1	1.14.13.218	COG0654	5-methylphenazine-1-carboxylate 1-monooxygenase
PIBMANKB_00029	CDS	621	gstB_1	2.5.1.18	COG0625	Glutathione S-transferase GST-6.0
